case_id,item_code,unit_id,condition,condition_name,variant,model,thinking_mode,temperature,baseline_temperature,same_temperature_baseline_available,transition_type,baseline_label,current_label,transition,confidence,confidence_change,margin_1_vs_9,probe_selected_label,probe_margin_1_9,probe_margin_1_0,probe_margin_9_0,natural_probe_label_match,natural_probability_status,probe_probability_status,status
CASE_045,B4,UNIT_011,source_authority/higher_authority,source_authority,higher_authority,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.7,0.0,2.72977565,1,-0.8026559,9.6662964,10.4689523,True,available,available,ok
CASE_045,B4,UNIT_011,source_authority/higher_authority,source_authority,higher_authority,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,9,9,9->9,0.5,0.0,-49.5,9,-22.625,17.125,39.75,True,available,available,ok
CASE_045,B4,UNIT_011,source_authority/lower_authority,source_authority,lower_authority,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,9,1->9,0.5,-0.19999999999999996,-1.53363915,9,-3.231473678,7.3285732999999995,10.560046977999999,True,available,available,ok
CASE_045,B4,UNIT_011,source_authority/lower_authority,source_authority,lower_authority,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,9,9,9->9,0.5,0.0,-36.25,9,-17.5,11.75,29.25,True,available,available,ok
CASE_045,B4,UNIT_011,visibility/visibility_explicit,visibility,visibility_explicit,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.8,0.10000000000000009,9.3541073386,1,5.1969638685,10.7770481685,5.580084299999999,True,available,available,ok
CASE_045,B4,UNIT_011,visibility/visibility_explicit,visibility,visibility_explicit,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,9,1,9->1,0.8,0.30000000000000004,47.5,1,,43.5,,True,available,available,ok
CASE_045,F2,UNIT_012,evidence_chain/broken_chain,evidence_chain,broken_chain,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.8,0.0,3.7344034440000002,1,5.6990708131000005,11.6888652131,5.989794399999999,True,available,available,ok
CASE_045,F2,UNIT_012,evidence_chain/broken_chain,evidence_chain,broken_chain,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.7,0.0,,1,7.999664306640625,41.499664306640625,33.5,True,available,available,ok
CASE_045,F2,UNIT_012,evidence_chain/complete_chain,evidence_chain,complete_chain,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.8,0.0,9.146096313376,1,8.10171977755,15.45296877755,7.351248999999999,True,available,available,ok
CASE_045,F2,UNIT_012,evidence_chain/complete_chain,evidence_chain,complete_chain,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.8,0.10000000000000009,28.125,1,,38.25,,True,available,available,ok
CASE_045,F2,UNIT_012,organization/concentrated,organization,concentrated,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.8,0.0,5.317862784,1,13.2904763310713,18.4341323310713,5.143656,True,available,available,ok
CASE_045,F2,UNIT_012,organization/concentrated,organization,concentrated,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.8,0.10000000000000009,28.125,1,,40.75,,True,available,available,ok
CASE_045,F2,UNIT_012,organization/scattered,organization,scattered,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.8,0.0,8.87722541566,1,8.58989693162,16.31045793162,7.720561,True,available,available,ok
CASE_045,F2,UNIT_012,organization/scattered,organization,scattered,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.7,0.0,32.25,1,,43.5,,True,available,available,ok
CASE_045,F2,UNIT_012,polarity/polarity_clarified,polarity,polarity_clarified,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.7,-0.10000000000000009,8.037948875829999,1,2.71447878,14.14775938,11.4332806,True,available,available,ok
CASE_045,F2,UNIT_012,polarity/polarity_clarified,polarity,polarity_clarified,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.7,0.0,24.5,1,,29.25,,True,available,available,ok
CASE_045,F2,UNIT_012,visibility/visibility_explicit,visibility,visibility_explicit,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.6,-0.20000000000000007,1.99063991,1,6.4141958107,12.132933810699999,5.718737999999999,True,available,available,ok
CASE_045,F2,UNIT_012,visibility/visibility_explicit,visibility,visibility_explicit,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.8,0.10000000000000009,35.0,1,,36.25,,True,available,available,ok
CASE_068,E2,UNIT_013,evidence_chain/broken_chain,evidence_chain,broken_chain,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,9,9,9->9,0.5,0.0,-10.382560006064999,9,-11.229711648649,5.703092,16.932803648649,True,available,available,ok
CASE_068,E2,UNIT_013,evidence_chain/broken_chain,evidence_chain,broken_chain,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.8,0.0,10.249964714050293,1,0.498046875,29.650390625,29.15234375,True,available,available,ok
CASE_068,E2,UNIT_013,evidence_chain/complete_chain,evidence_chain,complete_chain,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,9,9,9->9,0.6,0.09999999999999998,-7.5596077719,1,1.7329407799999998,13.87632098,12.1433802,False,available,available,ok
CASE_068,E2,UNIT_013,evidence_chain/complete_chain,evidence_chain,complete_chain,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.9,0.09999999999999998,47.75,1,25.375,45.0,19.625,True,available,available,ok
CASE_068,E2,UNIT_013,organization/concentrated,organization,concentrated,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,9,9,9->9,0.5,0.0,-3.90338354,1,-0.06383079000000003,15.00066007,15.06449086,False,available,available,ok
CASE_068,E2,UNIT_013,organization/concentrated,organization,concentrated,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.9,0.09999999999999998,34.0,1,24.125,37.25,13.125,True,available,available,ok
CASE_068,E2,UNIT_013,organization/scattered,organization,scattered,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,9,9,9->9,0.5,0.0,-3.84497511,9,-1.15709578,15.1919294,16.349025179999998,True,available,available,ok
CASE_068,E2,UNIT_013,organization/scattered,organization,scattered,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.8,0.0,46.25,1,,38.25,,True,available,available,ok
CASE_068,E2,UNIT_013,polarity/polarity_clarified,polarity,polarity_clarified,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,9,9,9->9,0.6,0.09999999999999998,-14.65327652316296,9,-7.051255681100001,12.194077400000001,19.2453330811,True,available,available,ok
CASE_068,E2,UNIT_013,polarity/polarity_clarified,polarity,polarity_clarified,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.9,0.09999999999999998,42.5,1,,46.5,,True,available,available,ok
CASE_068,E2,UNIT_013,source_authority/higher_authority,source_authority,higher_authority,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,9,1,9->1,0.8,0.30000000000000004,0.5788312,1,4.402814725000001,16.267269425,11.8644547,True,available,available,ok
CASE_068,E2,UNIT_013,source_authority/higher_authority,source_authority,higher_authority,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.9,0.09999999999999998,,1,,19.0,,True,available,available,ok
CASE_068,E2,UNIT_013,source_authority/lower_authority,source_authority,lower_authority,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,9,9,9->9,0.5,0.0,-0.6232017000000001,1,3.5569983,14.6580285,11.1010302,False,available,available,ok
CASE_068,E2,UNIT_013,source_authority/lower_authority,source_authority,lower_authority,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.8,0.0,14.749999642372131,1,21.125,37.5,16.375,True,available,available,ok
CASE_068,E2,UNIT_013,visibility/visibility_explicit,visibility,visibility_explicit,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,9,9,9->9,0.5,0.0,-1.58478881,9,-1.62640705,10.7525307,12.37893775,True,available,available,ok
CASE_068,E2,UNIT_013,visibility/visibility_explicit,visibility,visibility_explicit,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.9,0.09999999999999998,43.5,1,,28.5,,True,available,available,ok
CASE_075,D2,UNIT_014,evidence_chain/broken_chain,evidence_chain,broken_chain,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,9,1->9,0.5,-0.30000000000000004,-8.70507331281,9,-14.4093224039537,6.834689999999998,21.2440124039537,True,available,available,ok
CASE_075,D2,UNIT_014,evidence_chain/broken_chain,evidence_chain,broken_chain,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,9,1->9,0.5,-0.4,-15.74999988079071,9,-31.25,5.25,36.5,True,available,available,ok
CASE_075,D2,UNIT_014,evidence_chain/complete_chain,evidence_chain,complete_chain,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.8,0.0,4.4950539635,9,-3.41181626,8.7309976,12.14281386,False,available,available,ok
CASE_075,D2,UNIT_014,evidence_chain/complete_chain,evidence_chain,complete_chain,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.9,0.0,24.36083984375,9,-7.984375,-9.486328125,-1.501953125,False,available,available,ok
CASE_075,D2,UNIT_014,organization/concentrated,organization,concentrated,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.9,0.09999999999999998,9.944752165230001,9,-1.85694553,9.9351994,11.79214493,False,available,available,ok
CASE_075,D2,UNIT_014,organization/concentrated,organization,concentrated,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,0,1->0,0.8,-0.09999999999999998,18.4609375,1,,5.746826171875,,False,available,available,ok
CASE_075,D2,UNIT_014,organization/scattered,organization,scattered,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.7,-0.10000000000000009,8.94984651163,9,-2.878156583,8.8244137,11.702570283,False,available,available,ok
CASE_075,D2,UNIT_014,organization/scattered,organization,scattered,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.9,0.0,26.375,1,11.9818115234375,4.0130615234375,-7.96875,True,available,available,ok
CASE_075,D2,UNIT_014,polarity/polarity_clarified,polarity,polarity_clarified,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,9,1->9,0.6,-0.20000000000000007,1.51864188,9,-7.3549815892,7.018574699999999,14.3735562892,True,available,available,ok
CASE_075,D2,UNIT_014,polarity/polarity_clarified,polarity,polarity_clarified,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.8,-0.09999999999999998,,1,,18.0,,True,available,available,ok
CASE_075,D2,UNIT_014,visibility/visibility_explicit,visibility,visibility_explicit,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.8,0.0,7.2469985589,1,2.94937682,11.62510552,8.6757287,True,available,available,ok
CASE_075,D2,UNIT_014,visibility/visibility_explicit,visibility,visibility_explicit,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.8,-0.09999999999999998,15.74999988079071,9,-0.75,4.265625,5.015625,False,available,available,ok
CASE_077,D2,UNIT_015,evidence_chain/broken_chain,evidence_chain,broken_chain,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,9,1->9,0.5,-0.30000000000000004,-14.7450691423722,9,-11.246114648649,3.698746999999999,14.944861648648999,True,available,available,ok
CASE_077,D2,UNIT_015,evidence_chain/broken_chain,evidence_chain,broken_chain,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,0,9,0->9,0.5,-0.4,-39.75,9,,,,True,available,available,ok
CASE_077,D2,UNIT_015,evidence_chain/complete_chain,evidence_chain,complete_chain,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,9,1->9,0.5,-0.30000000000000004,-7.6958904391,1,1.5254321100000001,12.20079111,10.675359,False,available,available,ok
CASE_077,D2,UNIT_015,evidence_chain/complete_chain,evidence_chain,complete_chain,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,0,1,0->1,0.8,-0.09999999999999998,,9,-13.499736785888672,-5.25,8.249736785888672,False,available,available,ok
CASE_077,D2,UNIT_015,organization/concentrated,organization,concentrated,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,9,1->9,0.5,-0.30000000000000004,-4.6757727739999995,9,-2.8020805099999997,11.5423812,14.34446171,True,available,available,ok
CASE_077,D2,UNIT_015,organization/concentrated,organization,concentrated,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,0,1,0->1,0.9,0.0,,9,-15.499993562698364,-3.5,11.999993562698364,False,available,available,ok
CASE_077,D2,UNIT_015,organization/scattered,organization,scattered,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,9,1->9,0.5,-0.30000000000000004,-5.9354945461,9,-3.821656536,10.930731699999999,14.752388236,True,available,available,ok
CASE_077,D2,UNIT_015,organization/scattered,organization,scattered,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,0,9,0->9,0.5,-0.4,-2.24365234375,9,-13.749998927116394,5.125,18.874998927116394,True,available,available,ok
CASE_077,D2,UNIT_015,polarity/polarity_clarified,polarity,polarity_clarified,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,9,1->9,0.5,-0.30000000000000004,-0.8361054499999999,1,1.8925096,11.6083316,9.715822,False,available,available,ok
CASE_077,D2,UNIT_015,polarity/polarity_clarified,polarity,polarity_clarified,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,0,9,0->9,0.5,-0.4,-0.498046875,9,-23.0,1.875,24.875,True,available,available,ok
CASE_077,D2,UNIT_015,visibility/visibility_explicit,visibility,visibility_explicit,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.8,0.0,2.47850706,1,1.7827061499999999,10.86599165,9.0832855,True,available,available,ok
CASE_077,D2,UNIT_015,visibility/visibility_explicit,visibility,visibility_explicit,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,0,9,0->9,0.5,-0.4,-8.9700927734375,9,-24.0,5.5,29.5,True,available,available,ok
CASE_084,A2,UNIT_020,evidence_chain/broken_chain,evidence_chain,broken_chain,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.8,-0.09999999999999998,2.73004806,9,-0.6681278799999999,3.4733910000000003,4.1415188800000005,False,available,available,ok
CASE_084,A2,UNIT_020,evidence_chain/broken_chain,evidence_chain,broken_chain,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,9,9,9->9,0.5,0.0,-42.75,9,-47.5,-6.5,41.0,True,available,available,ok
CASE_084,A2,UNIT_020,evidence_chain/complete_chain,evidence_chain,complete_chain,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.8,-0.09999999999999998,3.122972947,9,-1.9537900300000002,1.5221893,3.47597933,False,available,available,ok
CASE_084,A2,UNIT_020,evidence_chain/complete_chain,evidence_chain,complete_chain,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,9,9,9->9,0.5,0.0,,9,-32.25,7.75,40.0,True,available,available,ok
CASE_084,A2,UNIT_020,organization/concentrated,organization,concentrated,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.9,0.0,2.5004795200000003,9,-3.43163102,1.6077586999999998,5.03938972,False,available,available,ok
CASE_084,A2,UNIT_020,organization/concentrated,organization,concentrated,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,9,9,9->9,0.5,0.0,,9,-32.0,16.5,48.5,True,available,available,ok
CASE_084,A2,UNIT_020,organization/scattered,organization,scattered,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,9,1->9,0.5,-0.4,-0.20664764000000002,9,-1.382795,1.1526600999999999,2.5354550999999996,True,available,available,ok
CASE_084,A2,UNIT_020,organization/scattered,organization,scattered,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,9,9,9->9,0.5,0.0,,9,-13.499998569488525,25.75,39.249998569488525,True,available,available,ok
CASE_084,A2,UNIT_020,polarity/polarity_clarified,polarity,polarity_clarified,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.8,-0.09999999999999998,1.75259177,9,-0.5157907,3.9207677399999996,4.43655844,False,available,available,ok
CASE_084,A2,UNIT_020,polarity/polarity_clarified,polarity,polarity_clarified,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,9,9,9->9,0.5,0.0,,9,-22.25,17.75,40.0,True,available,available,ok
CASE_084,A2,UNIT_020,source_authority/higher_authority,source_authority,higher_authority,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.9,0.0,4.8459627305,9,-2.974461374,0.36806910000000004,3.342530474,False,available,available,ok
CASE_084,A2,UNIT_020,source_authority/higher_authority,source_authority,higher_authority,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,9,9,9->9,0.5,0.0,,9,,,,True,available,available,ok
CASE_084,A2,UNIT_020,source_authority/lower_authority,source_authority,lower_authority,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.9,0.0,-0.48989435000000014,9,-2.694582226,1.4057761999999996,4.100358426,False,available,available,ok
CASE_084,A2,UNIT_020,source_authority/lower_authority,source_authority,lower_authority,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,9,9,9->9,0.5,0.0,,9,-23.375,12.625,36.0,True,available,available,ok
CASE_084,A2,UNIT_020,visibility/visibility_explicit,visibility,visibility_explicit,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,9,1->9,0.6,-0.30000000000000004,-2.9677909199999997,9,-3.1387929249999997,1.3570353000000006,4.495828225,True,available,available,ok
CASE_084,A2,UNIT_020,visibility/visibility_explicit,visibility,visibility_explicit,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,9,9,9->9,0.5,0.0,-49.75,9,-37.0,,,True,available,available,ok
CASE_145,C5,UNIT_029,evidence_chain/broken_chain,evidence_chain,broken_chain,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,9,9,9->9,0.5,0.0,-0.15536720000000004,9,-2.3332542960000002,16.6402451,18.973499396,True,available,available,ok
CASE_145,C5,UNIT_029,evidence_chain/broken_chain,evidence_chain,broken_chain,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.7,-0.10000000000000009,,9,-0.25,,,False,available,available,ok
CASE_145,C5,UNIT_029,evidence_chain/complete_chain,evidence_chain,complete_chain,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,9,9,9->9,0.5,0.0,-2.83188952,9,-2.4125400650000004,18.9123908,21.324930865000002,True,available,available,ok
CASE_145,C5,UNIT_029,evidence_chain/complete_chain,evidence_chain,complete_chain,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.8,0.0,1.75390625,1,,,,True,available,available,ok
CASE_145,C5,UNIT_029,organization/concentrated,organization,concentrated,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,9,1,9->1,0.7,0.19999999999999996,-0.11085509999999998,9,-0.90584892,20.2326903,21.138539220000002,False,available,available,ok
CASE_145,C5,UNIT_029,organization/concentrated,organization,concentrated,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.8,0.0,22.5,1,,,,True,available,available,ok
CASE_145,C5,UNIT_029,organization/scattered,organization,scattered,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,9,9,9->9,0.5,0.0,-1.97790972,9,-1.80825383,20.8662952,22.67454903,True,available,available,ok
CASE_145,C5,UNIT_029,organization/scattered,organization,scattered,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,9,1->9,0.5,-0.30000000000000004,-16.75,1,,,,False,available,available,ok
CASE_145,C5,UNIT_029,polarity/polarity_clarified,polarity,polarity_clarified,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,9,9,9->9,0.5,0.0,-3.41009972,9,-3.218383995,16.1349053,19.353289295,True,available,available,ok
CASE_145,C5,UNIT_029,polarity/polarity_clarified,polarity,polarity_clarified,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,9,1->9,0.5,-0.30000000000000004,-4.9932861328125,9,-12.999997735023499,,,True,available,available,ok
CASE_145,C5,UNIT_029,visibility/visibility_explicit,visibility,visibility_explicit,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,9,9,9->9,0.5,0.0,-2.47457228,9,-2.653176495,20.1606647,22.813841195000002,True,available,available,ok
CASE_145,C5,UNIT_029,visibility/visibility_explicit,visibility,visibility_explicit,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.8,0.0,,9,-8.999876976013184,,,False,available,available,ok
CASE_149,B4,UNIT_030,evidence_chain/broken_chain,evidence_chain,broken_chain,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,9,1->9,0.6,-0.20000000000000007,-7.878592365149999,9,-6.9433760694,1.3142344000000001,8.2576104694,True,available,available,ok
CASE_149,B4,UNIT_030,evidence_chain/broken_chain,evidence_chain,broken_chain,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,9,1->9,0.5,-0.19999999999999996,,9,-42.25,-22.25,20.0,True,available,available,ok
CASE_149,B4,UNIT_030,evidence_chain/complete_chain,evidence_chain,complete_chain,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.8,0.0,9.97455091344,1,3.45680797,11.94916937,8.4923614,True,available,available,ok
CASE_149,B4,UNIT_030,evidence_chain/complete_chain,evidence_chain,complete_chain,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.7,0.0,14.249999403953552,1,11.249987006187439,32.74998700618744,21.5,True,available,available,ok
CASE_149,B4,UNIT_030,organization/concentrated,organization,concentrated,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.8,0.0,11.246337887065001,1,4.941439164,12.865312464,7.9238733,True,available,available,ok
CASE_149,B4,UNIT_030,organization/concentrated,organization,concentrated,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.7,0.0,,1,,33.0,,True,available,available,ok
CASE_149,B4,UNIT_030,organization/scattered,organization,scattered,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.8,0.0,9.400525914573999,1,2.849034076,11.286398176,8.4373641,True,available,available,ok
CASE_149,B4,UNIT_030,organization/scattered,organization,scattered,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.7,0.0,8.249738693237305,1,10.249964714050293,31.499964714050293,21.25,True,available,available,ok
CASE_149,B4,UNIT_030,polarity/polarity_clarified,polarity,polarity_clarified,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.8,0.0,3.22260187,9,-3.4552329999999998,5.414995299999999,8.870228299999999,False,available,available,ok
CASE_149,B4,UNIT_030,polarity/polarity_clarified,polarity,polarity_clarified,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.7,0.0,14.249999403953552,1,,26.75,,True,available,available,ok
