model,case_id,unit_id,item_code,stimulus_id,polarity,explicitness,expected_label,label,correct_label,positive_label,negative_world_positive_leak,margin_1_9,margin_1_0,margin_9_0,candidate_coverage_count,candidate_coverage_complete,status
deepseek,CASE_110,UNIT_021,A1,UNIT_021__positive__explicit,positive,explicit,1,1,1,1,,28.928528,32.844437,3.915908999999999,3,True,ok
deepseek,CASE_110,UNIT_021,A1,UNIT_021__positive__implicit,positive,implicit,1,1,1,1,,26.158007,31.964363,5.806355999999997,3,True,ok
deepseek,CASE_116,UNIT_025,C4,UNIT_025__negative__explicit,negative,explicit,0,0,1,0,0,8.540253,-21.774145,-30.314398,3,True,ok
deepseek,CASE_116,UNIT_025,C4,UNIT_025__negative__implicit,negative,implicit,0,0,1,0,0,8.032625,-15.16042476158145,-23.19304976158145,3,True,ok
deepseek,CASE_116,UNIT_025,C4,UNIT_025__positive__explicit,positive,explicit,1,1,1,1,,34.16459,33.57897,-0.5856199999999987,3,True,ok
deepseek,CASE_116,UNIT_025,C4,UNIT_025__positive__implicit,positive,implicit,1,1,1,1,,30.653,35.521873,4.868873000000001,3,True,ok
deepseek,CASE_116,UNIT_027,F1,UNIT_027__negative__explicit,negative,explicit,0,0,1,0,0,3.0034969999999994,-13.2750542118622,-16.278551211862197,3,True,ok
deepseek,CASE_116,UNIT_027,F1,UNIT_027__negative__implicit,negative,implicit,0,0,1,0,0,3.8632966699999995,1.19191857,-2.6713780999999996,3,True,ok
deepseek,CASE_116,UNIT_027,F1,UNIT_027__positive__explicit,positive,explicit,1,1,1,1,,31.352959,32.88943,1.5364709999999988,3,True,ok
deepseek,CASE_116,UNIT_027,F1,UNIT_027__positive__implicit,positive,implicit,1,1,1,1,,22.93135,23.861025,0.9296750000000031,3,True,ok
deepseek,CASE_127,UNIT_028,A4,UNIT_028__negative__explicit,negative,explicit,0,0,1,0,0,-1.7542529999999985,-24.163372,-22.409119,3,True,ok
deepseek,CASE_127,UNIT_028,A4,UNIT_028__negative__implicit,negative,implicit,0,0,1,0,0,-17.751422400000003,-23.6608679952,-5.9094455952,3,True,ok
deepseek,CASE_127,UNIT_028,A4,UNIT_028__positive__explicit,positive,explicit,1,1,1,1,,38.506493,36.090073,-2.4164200000000022,3,True,ok
deepseek,CASE_127,UNIT_028,A4,UNIT_028__positive__implicit,positive,implicit,1,1,1,1,,34.413956,27.627531,-6.786424999999998,3,True,ok
deepseek,CASE_159,UNIT_033,A2,UNIT_033__negative__explicit,negative,explicit,0,0,1,0,0,4.405587999999998,-17.721073,-22.126661,3,True,ok
deepseek,CASE_159,UNIT_033,A2,UNIT_033__negative__implicit,negative,implicit,0,0,1,0,0,5.8959533,-7.4704906122,-13.366443912200001,3,True,ok
deepseek,CASE_159,UNIT_033,A2,UNIT_033__positive__explicit,positive,explicit,1,1,1,1,,27.243842761581448,15.23920276158145,-12.004639999999998,3,True,ok
deepseek,CASE_159,UNIT_033,A2,UNIT_033__positive__implicit,positive,implicit,1,1,1,1,,10.786209805,6.913757405,-3.8724524000000002,3,True,ok
deepseek,CASE_179,UNIT_037,E1,UNIT_037__negative__explicit,negative,explicit,0,0,1,0,0,0.4085499999999982,-23.44356,-23.85211,3,True,ok
deepseek,CASE_179,UNIT_037,E1,UNIT_037__negative__implicit,negative,implicit,0,0,1,0,0,-1.8316920000000003,-19.527643,-17.695951,3,True,ok
deepseek,CASE_179,UNIT_037,E1,UNIT_037__positive__explicit,positive,explicit,1,1,1,1,,34.890656,35.338223,0.4475669999999994,3,True,ok
deepseek,CASE_179,UNIT_037,E1,UNIT_037__positive__implicit,positive,implicit,1,1,1,1,,29.227459,30.210104,0.9826450000000015,3,True,ok
deepseek,CASE_195,UNIT_039,A1,UNIT_039__negative__explicit,negative,explicit,0,0,1,0,0,-3.227589000000002,-22.48889,-19.261301,3,True,ok
deepseek,CASE_195,UNIT_039,A1,UNIT_039__negative__implicit,negative,implicit,0,0,1,0,0,-3.0393550000000005,-15.2018635163877,-12.1625085163877,3,True,ok
deepseek,CASE_195,UNIT_039,A1,UNIT_039__positive__explicit,positive,explicit,1,1,1,1,,30.30066,32.871643,2.5709829999999982,3,True,ok
deepseek,CASE_195,UNIT_039,A1,UNIT_039__positive__implicit,positive,implicit,1,1,1,1,,24.697374,22.42453,-2.272843999999999,3,True,ok
deepseek,CASE_195,UNIT_040,A4,UNIT_040__negative__explicit,negative,explicit,0,0,1,0,0,-0.4863800000000005,-22.409407,-21.923027,3,True,ok
deepseek,CASE_195,UNIT_040,A4,UNIT_040__negative__implicit,negative,implicit,0,0,1,0,0,-8.133534000000001,-21.816536807907802,-13.683002807907801,3,True,ok
deepseek,CASE_195,UNIT_040,A4,UNIT_040__positive__explicit,positive,explicit,1,1,1,1,,37.051067,32.05775,-4.993317000000005,3,True,ok
deepseek,CASE_195,UNIT_040,A4,UNIT_040__positive__implicit,positive,implicit,1,1,1,1,,29.386086,25.268387,-4.117698999999998,3,True,ok
qwen_llamacpp,CASE_015,UNIT_002,A2,UNIT_002__negative__explicit,negative,explicit,0,0,1,0,0,24.681346893310547,-7.472240346018225,-32.15358723932877,3,True,ok
qwen_llamacpp,CASE_015,UNIT_002,A2,UNIT_002__negative__implicit,negative,implicit,0,0,1,0,0,9.540206909179688,-20.262527465820312,-29.802734375,3,True,ok
qwen_llamacpp,CASE_015,UNIT_002,A2,UNIT_002__positive__explicit,positive,explicit,1,1,1,1,,40.8812370300293,33.42498779296875,-7.456249237060547,3,True,ok
qwen_llamacpp,CASE_015,UNIT_002,A2,UNIT_002__positive__implicit,positive,implicit,1,1,1,1,,40.3682975769043,27.283035278320312,-13.085262298583984,3,True,ok
qwen_llamacpp,CASE_015,UNIT_004,D2,UNIT_004__negative__explicit,negative,explicit,0,0,1,0,0,23.874104022979736,-7.649246340850368,-31.523350363830104,3,True,ok
qwen_llamacpp,CASE_015,UNIT_004,D2,UNIT_004__negative__implicit,negative,implicit,0,1,0,1,1,26.6908305879424,10.47304952104787,-16.21778106689453,3,True,ok
qwen_llamacpp,CASE_015,UNIT_004,D2,UNIT_004__positive__explicit,positive,explicit,1,1,1,1,,35.59754180908203,24.324554443359375,-11.272987365722656,3,True,ok
qwen_llamacpp,CASE_015,UNIT_004,D2,UNIT_004__positive__implicit,positive,implicit,1,1,1,1,,33.291725158691406,23.70828628540039,-9.583438873291016,3,True,ok
qwen_llamacpp,CASE_018,UNIT_007,A4,UNIT_007__negative__explicit,negative,explicit,0,0,1,0,0,15.92287826538086,-14.683520793914681,-30.60639905929554,3,True,ok
qwen_llamacpp,CASE_018,UNIT_007,A4,UNIT_007__negative__implicit,negative,implicit,0,0,1,0,0,-2.8831100463867188,-23.90473175048828,-21.021621704101562,3,True,ok
qwen_llamacpp,CASE_018,UNIT_007,A4,UNIT_007__positive__explicit,positive,explicit,1,1,1,1,,39.23744201660156,28.830772399902344,-10.406669616699219,3,True,ok
qwen_llamacpp,CASE_018,UNIT_007,A4,UNIT_007__positive__implicit,positive,implicit,1,1,1,1,,30.50067138671875,22.677734375,-7.82293701171875,3,True,ok
qwen_llamacpp,CASE_018,UNIT_008,E1,UNIT_008__negative__explicit,negative,explicit,0,0,1,0,0,11.695995330810547,-20.54845428466797,-32.244449615478516,3,True,ok
qwen_llamacpp,CASE_018,UNIT_008,E1,UNIT_008__negative__implicit,negative,implicit,0,0,1,0,0,4.843585968017578,-12.485061645500537,-17.328647613518115,3,True,ok
qwen_llamacpp,CASE_018,UNIT_008,E1,UNIT_008__positive__explicit,positive,explicit,1,1,1,1,,39.936370849609375,32.519168853759766,-7.417201995849609,3,True,ok
qwen_llamacpp,CASE_018,UNIT_008,E1,UNIT_008__positive__implicit,positive,implicit,1,1,1,1,,35.246883392333984,26.067062377929688,-9.179821014404297,3,True,ok
qwen_llamacpp,CASE_035,UNIT_009,A1,UNIT_009__negative__explicit,negative,explicit,0,0,1,0,0,-4.502601623535156,-21.80693817138672,-17.304336547851562,3,True,ok
qwen_llamacpp,CASE_035,UNIT_009,A1,UNIT_009__negative__implicit,negative,implicit,0,0,1,0,0,1.0864830017089844,-12.302825570087862,-13.389308571796846,3,True,ok
qwen_llamacpp,CASE_035,UNIT_009,A1,UNIT_009__positive__explicit,positive,explicit,1,1,1,1,,37.24542999267578,30.628448486328125,-6.616981506347656,3,True,ok
qwen_llamacpp,CASE_035,UNIT_009,A1,UNIT_009__positive__implicit,positive,implicit,1,1,1,1,,31.337844848632812,26.465797424316406,-4.872047424316406,3,True,ok
qwen_llamacpp,CASE_081,UNIT_017,A2,UNIT_017__negative__explicit,negative,explicit,0,0,1,0,0,14.36532974243164,-12.96978330611887,-27.33511304855051,3,True,ok
qwen_llamacpp,CASE_081,UNIT_017,A2,UNIT_017__negative__implicit,negative,implicit,0,0,1,0,0,12.766986846923828,-16.88180923461914,-29.64879608154297,3,True,ok
qwen_llamacpp,CASE_081,UNIT_017,A2,UNIT_017__positive__explicit,positive,explicit,1,1,1,1,,35.867706298828125,29.97925567626953,-5.888450622558594,3,True,ok
qwen_llamacpp,CASE_081,UNIT_017,A2,UNIT_017__positive__implicit,positive,implicit,1,1,1,1,,37.51457977294922,21.73914337158203,-15.775436401367188,3,True,ok
qwen_llamacpp,CASE_081,UNIT_019,F1,UNIT_019__negative__explicit,negative,explicit,0,0,1,0,0,1.0124282836914062,-22.555442810058594,-23.56787109375,3,True,ok
qwen_llamacpp,CASE_081,UNIT_019,F1,UNIT_019__negative__implicit,negative,implicit,0,0,1,0,0,-2.6562957763671875,-18.39016330242157,-15.733867526054382,3,True,ok
qwen_llamacpp,CASE_081,UNIT_019,F1,UNIT_019__positive__explicit,positive,explicit,1,1,1,1,,37.76925277709961,29.84313201904297,-7.926120758056641,3,True,ok
qwen_llamacpp,CASE_081,UNIT_019,F1,UNIT_019__positive__implicit,positive,implicit,1,1,1,1,,31.85987091064453,21.946590423583984,-9.913280487060547,3,True,ok
qwen_llamacpp,CASE_110,UNIT_021,A1,UNIT_021__negative__explicit,negative,explicit,0,0,1,0,0,-3.6614456176757812,-21.22380828857422,-17.562362670898438,3,True,ok
qwen_llamacpp,CASE_110,UNIT_021,A1,UNIT_021__negative__implicit,negative,implicit,0,0,1,0,0,-8.484714984893799,-13.042511471547186,-4.5577964866533875,3,True,ok
qwen_llamacpp,CASE_110,UNIT_021,A1,UNIT_021__positive__explicit,positive,explicit,1,1,1,1,,35.039268493652344,30.6026611328125,-4.436607360839844,3,True,ok
qwen_llamacpp,CASE_110,UNIT_021,A1,UNIT_021__positive__implicit,positive,implicit,1,1,1,1,,27.904735565185547,27.365005493164062,-0.5397300720214844,3,True,ok
qwen_llamacpp,CASE_116,UNIT_025,C4,UNIT_025__negative__explicit,negative,explicit,0,0,1,0,0,15.117576599121094,-19.764984130859375,-34.88256072998047,3,True,ok
qwen_llamacpp,CASE_116,UNIT_025,C4,UNIT_025__negative__implicit,negative,implicit,0,0,1,0,0,8.254257202148438,-19.234786987304688,-27.489044189453125,3,True,ok
qwen_llamacpp,CASE_116,UNIT_025,C4,UNIT_025__positive__explicit,positive,explicit,1,1,1,1,,40.14299774169922,30.69503402709961,-9.44796371459961,3,True,ok
qwen_llamacpp,CASE_116,UNIT_025,C4,UNIT_025__positive__implicit,positive,implicit,1,1,1,1,,37.33962631225586,27.063053131103516,-10.276573181152344,3,True,ok
qwen_llamacpp,CASE_116,UNIT_027,F1,UNIT_027__negative__explicit,negative,explicit,0,0,1,0,0,7.610080718994141,-20.69652557373047,-28.30660629272461,3,True,ok
qwen_llamacpp,CASE_116,UNIT_027,F1,UNIT_027__negative__implicit,negative,implicit,0,0,1,0,0,-9.400100708007812,-20.00045764415154,-10.600356936143726,3,True,ok
qwen_llamacpp,CASE_116,UNIT_027,F1,UNIT_027__positive__explicit,positive,explicit,1,1,1,1,,39.700103759765625,31.710556030273438,-7.9895477294921875,3,True,ok
qwen_llamacpp,CASE_116,UNIT_027,F1,UNIT_027__positive__implicit,positive,implicit,1,9,0,0,,-9.274852991104126,-9.129875421524048,0.14497756958007812,3,True,ok
qwen_llamacpp,CASE_127,UNIT_028,A4,UNIT_028__negative__explicit,negative,explicit,0,0,1,0,0,11.554767608642578,-19.472389221191406,-31.027156829833984,3,True,ok
qwen_llamacpp,CASE_127,UNIT_028,A4,UNIT_028__negative__implicit,negative,implicit,0,0,1,0,0,9.750713348388672,-21.829715728759766,-31.580429077148438,3,True,ok
qwen_llamacpp,CASE_127,UNIT_028,A4,UNIT_028__positive__explicit,positive,explicit,1,1,1,1,,39.76689147949219,30.36739730834961,-9.399494171142578,3,True,ok
qwen_llamacpp,CASE_127,UNIT_028,A4,UNIT_028__positive__implicit,positive,implicit,1,1,1,1,,39.15092468261719,26.29511260986328,-12.855812072753906,3,True,ok
qwen_llamacpp,CASE_159,UNIT_033,A2,UNIT_033__negative__explicit,negative,explicit,0,0,1,0,0,19.8948335647583,-7.805702066892991,-27.70053563165129,3,True,ok
qwen_llamacpp,CASE_159,UNIT_033,A2,UNIT_033__negative__implicit,negative,implicit,0,1,0,1,1,32.22802197931742,12.141289114937535,-20.086732864379883,3,True,ok
qwen_llamacpp,CASE_159,UNIT_033,A2,UNIT_033__positive__explicit,positive,explicit,1,1,1,1,,35.742652893066406,23.568798065185547,-12.17385482788086,3,True,ok
qwen_llamacpp,CASE_159,UNIT_033,A2,UNIT_033__positive__implicit,positive,implicit,1,1,1,1,,30.944080114364596,15.140010595321627,-15.804069519042969,3,True,ok
qwen_llamacpp,CASE_179,UNIT_037,E1,UNIT_037__negative__explicit,negative,explicit,0,0,1,0,0,16.440776824951172,-11.375095367366157,-27.81587219231733,3,True,ok
qwen_llamacpp,CASE_179,UNIT_037,E1,UNIT_037__negative__implicit,negative,implicit,0,0,1,0,0,-0.2647247314453125,-13.382023096078228,-13.117298364632916,3,True,ok
qwen_llamacpp,CASE_179,UNIT_037,E1,UNIT_037__positive__explicit,positive,explicit,1,1,1,1,,39.114315032958984,32.15625,-6.958065032958984,3,True,ok
qwen_llamacpp,CASE_179,UNIT_037,E1,UNIT_037__positive__implicit,positive,implicit,1,1,1,1,,32.750823974609375,26.14364242553711,-6.607181549072266,3,True,ok
qwen_llamacpp,CASE_195,UNIT_039,A1,UNIT_039__negative__explicit,negative,explicit,0,0,1,0,0,-7.4481611251831055,-20.231936454768856,-12.783775329585751,3,True,ok
qwen_llamacpp,CASE_195,UNIT_039,A1,UNIT_039__negative__implicit,negative,implicit,0,0,1,0,0,-7.575283050537109,-13.712684447411448,-6.137401396874338,3,True,ok
qwen_llamacpp,CASE_195,UNIT_039,A1,UNIT_039__positive__explicit,positive,explicit,1,1,1,1,,37.93545913696289,30.20055389404297,-7.734905242919922,3,True,ok
qwen_llamacpp,CASE_195,UNIT_039,A1,UNIT_039__positive__implicit,positive,implicit,1,1,1,1,,30.346607208251953,23.80042266845703,-6.546184539794922,3,True,ok
qwen_llamacpp,CASE_195,UNIT_040,A4,UNIT_040__negative__explicit,negative,explicit,0,0,1,0,0,16.46452236175537,-14.354950308799573,-30.819472670554944,3,True,ok
qwen_llamacpp,CASE_195,UNIT_040,A4,UNIT_040__negative__implicit,negative,implicit,0,0,1,0,0,-5.757991790771484,-22.66103744506836,-16.903045654296875,3,True,ok
qwen_llamacpp,CASE_195,UNIT_040,A4,UNIT_040__positive__explicit,positive,explicit,1,1,1,1,,40.074310302734375,31.109249114990234,-8.96506118774414,3,True,ok
qwen_llamacpp,CASE_195,UNIT_040,A4,UNIT_040__positive__implicit,positive,implicit,1,1,1,1,,38.39519500732422,24.984333038330078,-13.41086196899414,3,True,ok
seed,CASE_015,UNIT_002,A2,UNIT_002__negative__explicit,negative,explicit,0,0,1,0,0,,,,1,False,ok
seed,CASE_015,UNIT_002,A2,UNIT_002__negative__implicit,negative,implicit,0,0,1,0,0,-20.25,-48.75,-28.5,3,True,ok
seed,CASE_015,UNIT_002,A2,UNIT_002__positive__explicit,positive,explicit,1,1,1,1,,,,,1,False,ok
seed,CASE_015,UNIT_002,A2,UNIT_002__positive__implicit,positive,implicit,1,1,1,1,,,,,1,False,ok
seed,CASE_015,UNIT_004,D2,UNIT_004__negative__explicit,negative,explicit,0,0,1,0,0,13.5,-33.0,-46.5,3,True,ok
seed,CASE_015,UNIT_004,D2,UNIT_004__negative__implicit,negative,implicit,0,0,1,0,0,-18.5,-37.0,-18.5,3,True,ok
seed,CASE_015,UNIT_004,D2,UNIT_004__positive__explicit,positive,explicit,1,1,1,1,,45.75,29.125,-16.625,3,True,ok
seed,CASE_015,UNIT_004,D2,UNIT_004__positive__implicit,positive,implicit,1,1,1,1,,31.6708984375,2.4990234375,-29.171875,3,True,ok
seed,CASE_018,UNIT_007,A4,UNIT_007__negative__explicit,negative,explicit,0,0,1,0,0,,,,1,False,ok
seed,CASE_018,UNIT_007,A4,UNIT_007__negative__implicit,negative,implicit,0,0,1,0,0,,,,1,False,ok
seed,CASE_018,UNIT_007,A4,UNIT_007__positive__explicit,positive,explicit,1,1,1,1,,,,,1,False,ok
seed,CASE_018,UNIT_007,A4,UNIT_007__positive__implicit,positive,implicit,1,1,1,1,,,,,1,False,ok
seed,CASE_018,UNIT_008,E1,UNIT_008__negative__explicit,negative,explicit,0,0,1,0,0,,,,1,False,ok
seed,CASE_018,UNIT_008,E1,UNIT_008__negative__implicit,negative,implicit,0,0,1,0,0,,,,1,False,ok
seed,CASE_018,UNIT_008,E1,UNIT_008__positive__explicit,positive,explicit,1,1,1,1,,,,,1,False,ok
seed,CASE_018,UNIT_008,E1,UNIT_008__positive__implicit,positive,implicit,1,1,1,1,,,,,1,False,ok
seed,CASE_035,UNIT_009,A1,UNIT_009__negative__explicit,negative,explicit,0,0,1,0,0,,,,1,False,ok
seed,CASE_035,UNIT_009,A1,UNIT_009__negative__implicit,negative,implicit,0,0,1,0,0,,,-53.0,2,False,ok
seed,CASE_035,UNIT_009,A1,UNIT_009__positive__explicit,positive,explicit,1,1,1,1,,,,,1,False,ok
seed,CASE_035,UNIT_009,A1,UNIT_009__positive__implicit,positive,implicit,1,1,1,1,,41.0,50.5,9.5,3,True,ok
seed,CASE_081,UNIT_017,A2,UNIT_017__negative__explicit,negative,explicit,0,0,1,0,0,,,,1,False,ok
seed,CASE_081,UNIT_017,A2,UNIT_017__negative__implicit,negative,implicit,0,0,1,0,0,,,,1,False,ok
seed,CASE_081,UNIT_017,A2,UNIT_017__positive__explicit,positive,explicit,1,1,1,1,,,,,1,False,ok
seed,CASE_081,UNIT_017,A2,UNIT_017__positive__implicit,positive,implicit,1,1,1,1,,,,,1,False,ok
seed,CASE_081,UNIT_019,F1,UNIT_019__negative__explicit,negative,explicit,0,0,1,0,0,,-50.0,,2,False,ok
seed,CASE_081,UNIT_019,F1,UNIT_019__negative__implicit,negative,implicit,0,0,1,0,0,,,-50.5,2,False,ok
seed,CASE_081,UNIT_019,F1,UNIT_019__positive__explicit,positive,explicit,1,1,1,1,,,,,1,False,ok
seed,CASE_081,UNIT_019,F1,UNIT_019__positive__implicit,positive,implicit,1,1,1,1,,,,,1,False,ok
seed,CASE_110,UNIT_021,A1,UNIT_021__negative__explicit,negative,explicit,0,0,1,0,0,,,-52.75,2,False,ok
seed,CASE_110,UNIT_021,A1,UNIT_021__negative__implicit,negative,implicit,0,0,1,0,0,,,,1,False,ok
seed,CASE_110,UNIT_021,A1,UNIT_021__positive__explicit,positive,explicit,1,1,1,1,,,,,1,False,ok
seed,CASE_110,UNIT_021,A1,UNIT_021__positive__implicit,positive,implicit,1,1,1,1,,,,,1,False,ok
seed,CASE_116,UNIT_025,C4,UNIT_025__negative__explicit,negative,explicit,0,0,1,0,0,,,,1,False,ok
seed,CASE_116,UNIT_025,C4,UNIT_025__negative__implicit,negative,implicit,0,0,1,0,0,,,,1,False,ok
seed,CASE_116,UNIT_025,C4,UNIT_025__positive__explicit,positive,explicit,1,1,1,1,,,,,1,False,ok
seed,CASE_116,UNIT_025,C4,UNIT_025__positive__implicit,positive,implicit,1,1,1,1,,,,,1,False,ok
seed,CASE_116,UNIT_027,F1,UNIT_027__negative__explicit,negative,explicit,0,0,1,0,0,2.25,-48.75,-51.0,3,True,ok
seed,CASE_116,UNIT_027,F1,UNIT_027__negative__implicit,negative,implicit,0,0,1,0,0,4.25,-47.25,-51.5,3,True,ok
seed,CASE_116,UNIT_027,F1,UNIT_027__positive__explicit,positive,explicit,1,1,1,1,,,,,1,False,ok
seed,CASE_116,UNIT_027,F1,UNIT_027__positive__implicit,positive,implicit,1,1,1,1,,,,,1,False,ok
seed,CASE_127,UNIT_028,A4,UNIT_028__negative__explicit,negative,explicit,0,0,1,0,0,,,,1,False,ok
seed,CASE_127,UNIT_028,A4,UNIT_028__negative__implicit,negative,implicit,0,0,1,0,0,,,-51.75,2,False,ok
seed,CASE_127,UNIT_028,A4,UNIT_028__positive__explicit,positive,explicit,1,1,1,1,,,,,1,False,ok
seed,CASE_127,UNIT_028,A4,UNIT_028__positive__implicit,positive,implicit,1,1,1,1,,,,,1,False,ok
seed,CASE_159,UNIT_033,A2,UNIT_033__negative__explicit,negative,explicit,0,0,1,0,0,,,,1,False,ok
seed,CASE_159,UNIT_033,A2,UNIT_033__negative__implicit,negative,implicit,0,0,1,0,0,,,,1,False,ok
seed,CASE_159,UNIT_033,A2,UNIT_033__positive__explicit,positive,explicit,1,1,1,1,,,,,1,False,ok
seed,CASE_159,UNIT_033,A2,UNIT_033__positive__implicit,positive,implicit,1,1,1,1,,,50.5,,2,False,ok
seed,CASE_179,UNIT_037,E1,UNIT_037__negative__explicit,negative,explicit,0,0,1,0,0,,,,1,False,ok
seed,CASE_179,UNIT_037,E1,UNIT_037__negative__implicit,negative,implicit,0,0,1,0,0,,,,1,False,ok
seed,CASE_179,UNIT_037,E1,UNIT_037__positive__explicit,positive,explicit,1,1,1,1,,,,,1,False,ok
seed,CASE_179,UNIT_037,E1,UNIT_037__positive__implicit,positive,implicit,1,1,1,1,,,,,1,False,ok
seed,CASE_195,UNIT_039,A1,UNIT_039__negative__explicit,negative,explicit,0,0,1,0,0,,,,1,False,ok
seed,CASE_195,UNIT_039,A1,UNIT_039__negative__implicit,negative,implicit,0,0,1,0,0,,,,1,False,ok
seed,CASE_195,UNIT_039,A1,UNIT_039__positive__explicit,positive,explicit,1,1,1,1,,,,,1,False,ok
seed,CASE_195,UNIT_039,A1,UNIT_039__positive__implicit,positive,implicit,1,1,1,1,,,,,1,False,ok
seed,CASE_195,UNIT_040,A4,UNIT_040__negative__explicit,negative,explicit,0,0,1,0,0,,,,1,False,ok
seed,CASE_195,UNIT_040,A4,UNIT_040__negative__implicit,negative,implicit,0,0,1,0,0,,,,1,False,ok
seed,CASE_195,UNIT_040,A4,UNIT_040__positive__explicit,positive,explicit,1,1,1,1,,,,,1,False,ok
